"Player","Team","REC","YDS","TDS","FL","FPTS"
"Albert Okwuegbunam Jr.","PHI","6.4","62.5","0.6","0.0","13.0"
"Charlie Woerner","ATL","8.1","62.7","0.3","0.0","12.2"
"Hunter Long","LAR","5.4","55.4","0.6","0.0","11.8"
"Ko Kieft","TB","5.6","56.6","0.5","0.1","11.1"
"Charlie Kolar","BAL","5.4","58.8","0.4","0.0","11.0"
"John Stephens Jr.","DAL","4.0","40.9","0.3","0.0","8.1"
"Kenny Yeboah","NYJ","3.9","37.1","0.3","0.0","7.3"
"Dalton Keene","HOU","2.0","21.3","0.2","0.0","4.2"
"Tyler Davis","GB","2.0","19.9","0.2","0.0","4.0"
"Tommy Hudson","NO","2.0","19.5","0.2","0.0","4.0"
"Julian Hill","MIA","2.1","19.2","0.2","0.0","4.0"
"Brady Russell","SEA","2.0","19.0","0.2","0.0","3.9"
"Nate Adkins","DEN","1.7","16.2","0.2","0.0","3.5"
"Chris Manhertz","NYG","1.9","16.6","0.1","0.0","3.3"
""
""
