"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Romeo Doubs","GB","44.5","567.9","4.3","0.0","0.5","0.0","0.5","103.7"
"DeMario Douglas","NE","54.6","575.0","2.8","2.1","15.7","0.0","0.2","103.0"
"Tyler Lockett","TEN","48.8","569.9","3.5","0.0","0.0","0.0","0.1","102.0"
"Joshua Palmer","BUF","42.5","579.7","3.5","0.0","0.5","0.0","0.1","100.2"
"Michael Wilson","ARI","44.6","547.1","3.8","1.9","7.7","0.1","0.5","100.1"
"Kyle Williams","NE","43.9","576.4","3.4","2.1","8.7","0.0","0.4","100.1"
"Calvin Austin III","PIT","39.3","539.0","3.6","2.3","11.8","0.1","0.5","95.8"
"Jalen McMillan","TB","38.2","482.3","4.3","2.3","20.4","0.0","0.5","94.4"
"Alec Pierce","IND","31.2","558.8","3.6","0.0","0.0","0.0","0.1","92.6"
"Darius Slayton","NYG","34.2","517.5","2.5","1.4","6.1","0.0","0.2","84.3"
"Tutu Atwell","LAR","38.4","490.3","2.2","4.3","20.2","0.1","0.1","84.0"
"Dyami Brown","JAC","38.1","491.6","2.6","0.7","5.8","0.0","0.5","83.3"
"Tre Tucker","LV","34.9","445.2","2.6","5.6","33.8","0.3","0.1","83.1"
"DeAndre Hopkins","BAL","33.1","425.1","3.9","0.0","0.5","0.0","0.1","82.3"
"Diontae Johnson","CLE","39.1","476.8","2.3","1.0","1.8","0.0","0.5","80.6"
"Jalen Coker","CAR","37.1","477.8","2.3","0.0","2.3","0.0","0.1","80.3"
"Ray-Ray McCloud III","ATL","39.6","427.6","2.3","7.8","53.1","0.2","1.2","80.2"
"Jalen Tolbert","DAL","34.4","416.2","3.6","0.0","0.0","0.0","0.1","80.0"
"Marquez Valdes-Scantling","SEA","28.1","468.4","2.8","2.6","9.0","0.1","0.1","79.0"
"Nick Westbrook-Ikhine","MIA","30.5","418.8","3.7","0.0","0.0","0.0","0.1","78.9"
"Brandin Cooks","NO","36.9","427.6","2.9","1.7","3.8","0.0","0.1","78.8"
